,brand,name,model_year,origin,cylinders,mpg,displacement,horsepower,weight
0,chevrolet,chevrolet chevelle malibu,70,usa,8,18,307,130.0,3504
1,buick,buick skylark 320,70,usa,8,15,350,165.0,3693
2,plymouth,plymouth satellite,70,usa,8,18,318,150.0,3436
3,amc,amc rebel sst,70,usa,8,16,304,150.0,3433
4,ford,ford torino,70,usa,8,17,302,140.0,3449
5,ford,ford galaxie 500,70,usa,8,15,429,198.0,4341
6,chevrolet,chevrolet impala,70,usa,8,14,454,220.0,4354
7,plymouth,plymouth fury iii,70,usa,8,14,440,215.0,4312
8,pontiac,pontiac catalina,70,usa,8,14,455,225.0,4425
9,amc,amc ambassador dpl,70,usa,8,15,390,190.0,3850
10,dodge,dodge challenger se,70,usa,8,15,383,170.0,3563
11,plymouth,plymouth 'cuda 340,70,usa,8,14,340,160.0,3609
12,chevrolet,chevrolet monte carlo,70,usa,8,15,400,150.0,3761
13,buick,buick estate wagon (sw),70,usa,8,14,455,225.0,3086
14,toyota,toyota corona mark ii,70,japan,4,24,113,95.0,2372
15,plymouth,plymouth duster,70,usa,6,22,198,95.0,2833
16,amc,amc hornet,70,usa,6,18,199,97.0,2774
17,ford,ford maverick,70,usa,6,21,200,85.0,2587
18,datsun,datsun pl510,70,japan,4,27,97,88.0,2130
19,volkswagen,volkswagen 1131 deluxe sedan,70,europe,4,26,97,46.0,1835
20,peugeot,peugeot 504,70,europe,4,25,110,87.0,2672
21,audi,audi 100 ls,70,europe,4,24,107,90.0,2430
22,saab,saab 99e,70,europe,4,25,104,95.0,2375
23,bmw,bmw 2002,70,europe,4,26,121,113.0,2234
24,amc,amc gremlin,70,usa,6,21,199,90.0,2648
25,ford,ford f250,70,usa,8,10,360,215.0,4615
26,chevrolet,chevy c20,70,usa,8,10,307,200.0,4376
27,dodge,dodge d200,70,usa,8,11,318,210.0,4382
28,hi,hi 1200d,70,usa,8,9,304,193.0,4732
29,datsun,datsun pl510,71,japan,4,27,97,88.0,2130
30,chevrolet,chevrolet vega 2300,71,usa,4,28,140,90.0,2264
31,toyota,toyota corona,71,japan,4,25,113,95.0,2228
32,ford,ford pinto,71,usa,4,25,98,119.0,2046
33,amc,amc gremlin,71,usa,6,19,232,100.0,2634
34,plymouth,plymouth satellite custom,71,usa,6,16,225,105.0,3439
35,chevrolet,chevrolet chevelle malibu,71,usa,6,17,250,100.0,3329
36,ford,ford torino 500,71,usa,6,19,250,88.0,3302
37,amc,amc matador,71,usa,6,18,232,100.0,3288
38,chevrolet,chevrolet impala,71,usa,8,14,350,165.0,4209
39,pontiac,pontiac catalina brougham,71,usa,8,14,400,175.0,4464
40,ford,ford galaxie 500,71,usa,8,14,351,153.0,4154
41,plymouth,plymouth fury iii,71,usa,8,14,318,150.0,4096
42,dodge,dodge monaco (sw),71,usa,8,12,383,180.0,4955
43,ford,ford country squire (sw),71,usa,8,13,400,170.0,4746
44,pontiac,pontiac safari (sw),71,usa,8,13,400,175.0,5140
45,amc,amc hornet sportabout (sw),71,usa,6,18,258,110.0,2962
46,chevrolet,chevrolet vega (sw),71,usa,4,22,140,72.0,2408
47,pontiac,pontiac firebird,71,usa,6,19,250,100.0,3282
48,ford,ford mustang,71,usa,6,18,250,88.0,3139
49,mercury,mercury capri 2000,71,usa,4,23,122,86.0,2220
50,opel,opel 1900,71,europe,4,28,116,90.0,2123
51,peugeot,peugeot 304,71,europe,4,30,79,70.0,2074
52,fiat,fiat 124b,71,europe,4,30,88,76.0,2065
53,toyota,toyota corolla 1200,71,japan,4,31,71,65.0,1773
54,datsun,datsun 1200,71,japan,4,35,72,69.0,1613
55,volkswagen,volkswagen model 111,71,europe,4,27,97,60.0,1834
56,plymouth,plymouth cricket,71,usa,4,26,91,70.0,1955
57,toyota,toyota corona hardtop,72,japan,4,24,113,95.0,2278
58,dodge,dodge colt hardtop,72,usa,4,25,97,80.0,2126
59,volkswagen,volkswagen type 3,72,europe,4,23,97,54.0,2254
60,chevrolet,chevrolet vega,72,usa,4,20,140,90.0,2408
61,ford,ford pinto runabout,72,usa,4,21,122,86.0,2226
62,chevrolet,chevrolet impala,72,usa,8,13,350,165.0,4274
63,pontiac,pontiac catalina,72,usa,8,14,400,175.0,4385
64,plymouth,plymouth fury iii,72,usa,8,15,318,150.0,4135
65,ford,ford galaxie 500,72,usa,8,14,351,153.0,4129
66,amc,amc ambassador sst,72,usa,8,17,304,150.0,3672
67,mercury,mercury marquis,72,usa,8,11,429,208.0,4633
68,buick,buick lesabre custom,72,usa,8,13,350,155.0,4502
69,oldsmobile,oldsmobile delta 88 royale,72,usa,8,12,350,160.0,4456
70,chrysler,chrysler newport royal,72,usa,8,13,400,190.0,4422
71,mazda,mazda rx2 coupe,72,japan,3,19,70,97.0,2330
72,amc,amc matador (sw),72,usa,8,15,304,150.0,3892
73,chevrolet,chevrolet chevelle concours (sw),72,usa,8,13,307,130.0,4098
74,ford,ford gran torino (sw),72,usa,8,13,302,140.0,4294
75,plymouth,plymouth satellite custom (sw),72,usa,8,14,318,150.0,4077
76,volvo,volvo 145e (sw),72,europe,4,18,121,112.0,2933
77,volkswagen,volkswagen 411 (sw),72,europe,4,22,121,76.0,2511
78,peugeot,peugeot 504 (sw),72,europe,4,21,120,87.0,2979
79,renault,renault 12 (sw),72,europe,4,26,96,69.0,2189
80,ford,ford pinto (sw),72,usa,4,22,122,86.0,2395
81,datsun,datsun 510 (sw),72,japan,4,28,97,92.0,2288
82,toyouta,toyouta corona mark ii (sw),72,japan,4,23,120,97.0,2506
83,dodge,dodge colt (sw),72,usa,4,28,98,80.0,2164
84,toyota,toyota corolla 1600 (sw),72,japan,4,27,97,88.0,2100
85,buick,buick century 350,73,usa,8,13,350,175.0,4100
86,amc,amc matador,73,usa,8,14,304,150.0,3672
87,chevrolet,chevrolet malibu,73,usa,8,13,350,145.0,3988
88,ford,ford gran torino,73,usa,8,14,302,137.0,4042
89,dodge,dodge coronet custom,73,usa,8,15,318,150.0,3777
90,mercury,mercury marquis brougham,73,usa,8,12,429,198.0,4952
91,chevrolet,chevrolet caprice classic,73,usa,8,13,400,150.0,4464
92,ford,ford ltd,73,usa,8,13,351,158.0,4363
93,plymouth,plymouth fury gran sedan,73,usa,8,14,318,150.0,4237
94,chrysler,chrysler new yorker brougham,73,usa,8,13,440,215.0,4735
95,buick,buick electra 225 custom,73,usa,8,12,455,225.0,4951
96,amc,amc ambassador brougham,73,usa,8,13,360,175.0,3821
97,plymouth,plymouth valiant,73,usa,6,18,225,105.0,3121
98,chevrolet,chevrolet nova custom,73,usa,6,16,250,100.0,3278
99,amc,amc hornet,73,usa,6,18,232,100.0,2945
100,ford,ford maverick,73,usa,6,18,250,88.0,3021
